شناسه_مشترک,جنسیت,سن,ماه_تولد,سابقه_سیم‌کارت_ماه,نسل_اینترنت_همراه,بسته_رومینگ_بین‌الملل,فضای_ابری_اپراتور,بسته_اینترنت_شبانه,سرویس_تماس_VoLTE,سوپراپ_شبکه اجتماعی,سوپراپ_خدمات_مالی,نوع_سیم‌کارت,استفاده_اپلیکیشن_اپراتور,هزینه_ماهیانه_تومان,هزینه_کل_تومان,ریزش
795,زن,27,فروردین,6,3G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,خیر,6750000,44805000,خیر
796,مرد,53,فروردین,2,4G,خیر,بله,خیر,بله,خیر,بله,اعتباری,بله,9630000,21547500,خیر
797,مرد,40,مرداد,31,5G,خیر,خیر,خیر,بله,خیر,خیر,دائمی,خیر,12255000,382297500,خیر
798,زن,48,مرداد,20,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3832500,76110000,خیر
799,زن,40,بهمن,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3000000,3000000,خیر
800,مرد,40,بهمن,62,5G,خیر,خیر,بله,خیر,بله,بله,دائمی,بله,14512500,918810000,بله
801,زن,51,اسفند,70,5G,خیر,خیر,خیر,خیر,خیر,خیر,دائمی,بله,11347500,811710000,خیر
802,زن,34,تیر,10,5G,خیر,خیر,خیر,بله,بله,بله,اعتباری,بله,14775000,158737500,بله
803,مرد,41,بهمن,39,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3570000,135570000,خیر
804,زن,34,مرداد,46,3G,خیر,بله,خیر,بله,بله,خیر,دائمی,بله,9630000,451425000,خیر
805,مرد,35,آبان,6,5G,خیر,بله,خیر,خیر,بله,خیر,اعتباری,بله,12802500,73417500,بله
806,زن,36,آذر,72,4G,خیر,خیر,بله,خیر,بله,بله,دائمی,بله,11520000,820267500,خیر
807,مرد,43,بهمن,18,4G,خیر,خیر,بله,بله,خیر,خیر,اعتباری,خیر,8280000,158715000,خیر
808,مرد,34,تیر,71,5G,بله,خیر,بله,بله,بله,بله,دائمی,بله,16282500,1142400000,خیر
809,مرد,55,بهمن,40,5G,خیر,بله,خیر,خیر,بله,بله,اعتباری,بله,15195000,616965000,بله
810,مرد,29,خرداد,1,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10432500,10432500,بله
811,مرد,38,مهر,58,5G,خیر,بله,بله,خیر,بله,بله,دائمی,بله,15487500,902647500,بله
812,مرد,35,اردیبهشت,70,5G,بله,خیر,خیر,بله,بله,بله,دائمی,بله,15600000,1087522500,بله
813,زن,57,آذر,42,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3787500,166230000,خیر
814,مرد,42,آبان,34,3G,بله,خیر,خیر,خیر,خیر,خیر,دائمی,خیر,4560000,140797500,خیر
815,مرد,52,اردیبهشت,5,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3007500,14122500,خیر
816,زن,22,فروردین,25,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,12690000,313207500,خیر
817,زن,43,آذر,2,5G,خیر,خیر,بله,خیر,خیر,بله,اعتباری,بله,12930000,26805000,بله
818,زن,51,دی,55,5G,خیر,بله,بله,بله,بله,بله,دائمی,بله,15555000,848512500,خیر
819,مرد,41,تیر,21,5G,خیر,بله,بله,بله,بله,بله,اعتباری,بله,16680000,347565000,بله
820,مرد,53,دی,70,5G,بله,بله,خیر,بله,خیر,خیر,دائمی,بله,13200000,897967500,خیر
821,زن,34,دی,61,5G,خیر,خیر,بله,بله,بله,بله,اعتباری,بله,15952500,1012702500,خیر
822,مرد,57,آبان,43,4G,بله,خیر,بله,بله,بله,بله,دائمی,بله,11872500,534990000,خیر
823,مرد,68,مهر,47,5G,خیر,بله,بله,خیر,بله,بله,دائمی,بله,15465000,733395000,خیر
824,مرد,36,مرداد,5,4G,خیر,خیر,بله,بله,بله,خیر,اعتباری,بله,9592500,47715000,خیر
825,زن,35,دی,62,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3870000,234592500,خیر
826,زن,57,مهر,16,5G,خیر,بله,بله,خیر,بله,خیر,اعتباری,بله,13417500,214537500,بله
827,مرد,59,مهر,7,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,14340000,96652500,بله
828,زن,34,دی,14,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3832500,55867500,خیر
829,مرد,35,خرداد,60,5G,خیر,بله,بله,خیر,بله,خیر,دائمی,خیر,13642500,818010000,بله
830,مرد,37,اردیبهشت,34,4G,خیر,خیر,بله,بله,بله,خیر,اعتباری,بله,6727500,216390000,خیر
831,زن,24,بهمن,50,5G,بله,بله,خیر,بله,بله,بله,دائمی,خیر,16282500,841605000,بله
832,مرد,29,آبان,38,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3757500,144592500,خیر
833,زن,28,مهر,70,3G,بله,بله,بله,بله,خیر,بله,دائمی,خیر,11115000,783345000,خیر
834,زن,31,مرداد,37,5G,خیر,بله,خیر,خیر,بله,خیر,اعتباری,بله,13320000,501082500,خیر
835,زن,40,آبان,4,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,11827500,43920000,بله
836,مرد,43,آذر,60,5G,بله,بله,خیر,خیر,خیر,بله,اعتباری,بله,13987500,866182500,خیر
837,مرد,59,اردیبهشت,62,4G,بله,خیر,بله,بله,خیر,بله,دائمی,خیر,10710000,673095000,خیر
838,مرد,28,بهمن,1,3G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,6660000,6660000,بله
839,مرد,52,مهر,36,3G,بله,خیر,بله,بله,بله,بله,اعتباری,بله,11880000,428242500,خیر
840,مرد,37,دی,44,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3060000,135832500,خیر
841,زن,39,آبان,55,5G,خیر,خیر,بله,خیر,بله,بله,دائمی,بله,15000000,826395000,بله
842,زن,48,اسفند,72,5G,بله,خیر,بله,خیر,بله,بله,دائمی,بله,15750000,1138470000,خیر
843,زن,27,فروردین,12,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2970000,34440000,بله
844,زن,45,مرداد,13,3G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,4627500,59115000,خیر
845,مرد,42,خرداد,1,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,13485000,13485000,بله
846,زن,46,آذر,15,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3082500,44392500,خیر
847,زن,43,آذر,65,4G,بله,بله,بله,بله,بله,بله,دائمی,بله,12727500,818880000,خیر
848,زن,69,آذر,12,4G,بله,خیر,خیر,بله,خیر,خیر,دائمی,خیر,4972500,66712500,خیر
849,مرد,32,مرداد,72,3G,بله,بله,بله,بله,بله,بله,دائمی,بله,13800000,1017322500,خیر
850,زن,34,شهریور,72,3G,بله,بله,بله,بله,بله,بله,دائمی,خیر,13470000,976567500,خیر
851,زن,33,دی,72,5G,بله,بله,بله,بله,بله,بله,دائمی,بله,17370000,1271475000,خیر
852,مرد,33,آذر,52,4G,بله,بله,خیر,بله,بله,بله,دائمی,بله,12772500,669277500,خیر
853,مرد,32,بهمن,2,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3727500,9300000,خیر
854,زن,54,آذر,5,3G,بله,خیر,خیر,بله,بله,خیر,اعتباری,بله,9652500,52897500,خیر
855,زن,57,آبان,68,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3075000,213735000,خیر
856,زن,33,بهمن,62,5G,خیر,خیر,بله,خیر,بله,بله,دائمی,بله,15022500,962047500,بله
857,مرد,30,خرداد,72,3G,بله,بله,خیر,بله,بله,بله,دائمی,خیر,12907500,946447500,خیر
858,مرد,46,دی,1,3G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,7620000,7620000,بله
859,زن,33,آذر,66,5G,بله,بله,خیر,بله,خیر,خیر,دائمی,خیر,13350000,884790000,خیر
860,مرد,48,خرداد,72,4G,بله,بله,بله,بله,بله,بله,دائمی,بله,9720000,707962500,خیر
861,مرد,42,آبان,26,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2970000,68595000,خیر
862,مرد,22,بهمن,64,5G,بله,خیر,بله,خیر,خیر,بله,دائمی,خیر,14010000,873345000,خیر
863,مرد,59,اردیبهشت,20,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,11047500,219525000,بله
864,زن,62,دی,3,5G,خیر,بله,خیر,خیر,بله,بله,اعتباری,بله,14265000,46110000,بله
865,مرد,33,بهمن,22,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,14197500,315682500,بله
866,مرد,35,بهمن,4,5G,خیر,خیر,بله,بله,خیر,خیر,اعتباری,بله,12090000,47872500,بله
867,مرد,43,اسفند,62,4G,خیر,خیر,خیر,بله,بله,خیر,دائمی,بله,5850000,350617500,خیر
868,زن,44,اسفند,5,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3075000,15645000,خیر
869,مرد,48,مهر,59,5G,خیر,خیر,خیر,خیر,خیر,بله,دائمی,خیر,12832500,762697500,بله
870,مرد,64,اردیبهشت,3,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3960000,18187500,خیر
871,زن,38,اسفند,72,5G,بله,خیر,بله,بله,بله,خیر,دائمی,بله,14730000,1052385000,خیر
872,مرد,30,مهر,57,5G,خیر,بله,بله,خیر,بله,بله,دائمی,بله,14632500,839700000,خیر
873,مرد,23,آذر,66,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2992500,190365000,خیر
874,زن,31,آبان,60,4G,خیر,بله,خیر,خیر,بله,بله,اعتباری,بله,7620000,454110000,بله
875,مرد,40,اردیبهشت,45,5G,خیر,خیر,بله,خیر,بله,بله,دائمی,خیر,14955000,695152500,خیر
876,زن,62,مهر,3,4G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,5220000,17092500,خیر
877,زن,34,شهریور,15,5G,بله,خیر,بله,بله,بله,بله,اعتباری,خیر,15765000,237412500,بله
878,زن,43,شهریور,51,3G,بله,خیر,بله,بله,بله,بله,دائمی,خیر,9022500,461550000,خیر
879,زن,40,خرداد,60,3G,بله,خیر,بله,بله,خیر,خیر,دائمی,خیر,9712500,605925000,خیر
880,مرد,54,فروردین,33,3G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,8197500,249780000,خیر
881,مرد,70,دی,10,5G,بله,بله,بله,بله,بله,بله,اعتباری,بله,16515000,156495000,بله
882,مرد,34,تیر,26,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2895000,75630000,خیر
883,زن,34,مرداد,6,5G,خیر,خیر,بله,خیر,خیر,بله,اعتباری,خیر,12585000,74632500,بله
884,زن,53,آبان,67,5G,بله,خیر,بله,بله,بله,بله,دائمی,بله,16687500,1126747500,خیر
885,زن,48,اسفند,49,3G,بله,خیر,خیر,بله,خیر,خیر,دائمی,بله,5370000,267300000,خیر
886,مرد,62,مرداد,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3007500,3007500,خیر
887,زن,47,آبان,7,5G,خیر,خیر,بله,خیر,بله,خیر,اعتباری,بله,12652500,91447500,خیر
888,زن,36,دی,27,5G,بله,بله,بله,خیر,بله,بله,دائمی,بله,16575000,428640000,خیر
889,مرد,47,مرداد,37,5G,خیر,خیر,خیر,خیر,بله,بله,دائمی,خیر,13680000,487132500,خیر
890,زن,53,بهمن,63,5G,بله,بله,بله,خیر,بله,خیر,اعتباری,بله,15082500,932302500,بله
891,مرد,50,بهمن,31,5G,بله,خیر,بله,بله,خیر,خیر,اعتباری,خیر,13395000,423450000,خیر
892,مرد,46,اسفند,50,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,15577500,752685000,بله
893,مرد,53,خرداد,32,5G,خیر,خیر,بله,خیر,خیر,خیر,اعتباری,بله,12165000,392887500,خیر
894,زن,54,فروردین,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,3690000,3690000,بله
895,زن,57,آبان,63,5G,خیر,خیر,خیر,بله,خیر,خیر,دائمی,بله,12180000,744765000,خیر
896,مرد,48,تیر,30,5G,بله,بله,خیر,خیر,خیر,بله,اعتباری,بله,14145000,401955000,خیر
897,مرد,38,دی,71,5G,بله,بله,بله,بله,بله,بله,دائمی,بله,17415000,1246582500,خیر
898,زن,42,فروردین,53,5G,خیر,بله,بله,خیر,بله,بله,دائمی,خیر,15832500,852337500,خیر
899,زن,54,آبان,12,5G,بله,خیر,خیر,بله,بله,بله,اعتباری,بله,14835000,168142500,بله
900,مرد,30,دی,50,5G,بله,بله,خیر,خیر,خیر,بله,اعتباری,بله,14160000,737235000,خیر
901,زن,44,بهمن,2,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2925000,4132500,خیر
902,زن,35,تیر,9,5G,خیر,خیر,بله,خیر,بله,بله,اعتباری,خیر,14745000,138525000,بله
903,مرد,40,مهر,17,5G,بله,خیر,خیر,خیر,بله,بله,اعتباری,خیر,14077500,243847500,بله
904,زن,55,آبان,56,5G,بله,بله,بله,خیر,بله,بله,دائمی,بله,15840000,910297500,خیر
905,مرد,42,فروردین,67,4G,بله,بله,بله,خیر,بله,بله,دائمی,خیر,12202500,809790000,خیر
906,مرد,41,مهر,9,5G,خیر,خیر,بله,خیر,بله,بله,اعتباری,بله,15075000,137790000,بله
907,مرد,24,بهمن,4,4G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,8460000,35227500,خیر
908,مرد,49,آذر,19,3G,خیر,بله,خیر,بله,خیر,بله,دائمی,بله,9802500,184777500,خیر
909,زن,48,مرداد,8,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2992500,25635000,خیر
910,زن,66,دی,71,5G,خیر,بله,بله,بله,بله,بله,دائمی,بله,16687500,1197622500,خیر
911,مرد,36,آبان,10,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,10927500,103297500,بله
912,زن,43,اردیبهشت,15,5G,خیر,بله,خیر,خیر,بله,خیر,اعتباری,خیر,13350000,193245000,خیر
913,مرد,43,تیر,72,5G,بله,خیر,بله,خیر,بله,بله,دائمی,بله,15915000,1177275000,خیر
914,مرد,59,دی,12,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3007500,40050000,خیر
915,مرد,39,اسفند,72,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3780000,269835000,خیر
916,مرد,43,مرداد,1,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11032500,11032500,بله
917,زن,47,مهر,23,5G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11310000,246532500,خیر
918,مرد,42,اردیبهشت,72,3G,بله,بله,بله,بله,بله,بله,دائمی,بله,9832500,721117500,خیر
919,زن,35,مرداد,26,5G,خیر,خیر,بله,خیر,خیر,خیر,اعتباری,بله,12105000,328950000,خیر
920,زن,42,خرداد,21,5G,خیر,بله,بله,بله,بله,بله,دائمی,بله,15682500,335910000,خیر
921,مرد,53,شهریور,60,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3622500,225885000,خیر
922,مرد,28,تیر,12,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3067500,38302500,خیر
923,مرد,42,شهریور,16,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11310000,178410000,خیر
924,زن,32,مرداد,63,4G,بله,بله,خیر,خیر,بله,بله,دائمی,بله,11955000,717922500,خیر
925,زن,54,اردیبهشت,22,5G,بله,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,12255000,273135000,خیر
926,زن,22,مهر,32,3G,بله,بله,بله,بله,خیر,بله,اعتباری,خیر,11445000,360622500,خیر
927,زن,33,اسفند,3,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,11910000,30757500,بله
928,زن,45,آذر,13,5G,خیر,بله,بله,خیر,خیر,خیر,اعتباری,بله,12172500,142845000,بله
929,زن,59,آبان,68,5G,خیر,بله,خیر,بله,بله,بله,دائمی,بله,15562500,1055917500,خیر
930,زن,39,آذر,30,5G,خیر,خیر,بله,خیر,خیر,بله,دائمی,خیر,12967500,380707500,خیر
931,زن,33,شهریور,16,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,11265000,181927500,خیر
932,مرد,63,دی,33,5G,خیر,بله,خیر,بله,خیر,خیر,دائمی,خیر,12090000,397665000,خیر
933,مرد,23,فروردین,72,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2895000,195720000,خیر
934,زن,18,اسفند,4,5G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,12690000,54015000,بله
935,زن,45,مهر,12,3G,بله,خیر,خیر,بله,خیر,خیر,دائمی,بله,5040000,65317500,خیر
936,زن,34,فروردین,4,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,12487500,46207500,خیر
937,زن,28,شهریور,0,3G,بله,بله,بله,خیر,بله,بله,دائمی,خیر,12127500,0,خیر
938,زن,49,دی,6,5G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11857500,65175000,بله
939,زن,43,تیر,65,5G,خیر,بله,بله,بله,بله,بله,دائمی,بله,16207500,1067835000,خیر
940,زن,33,آبان,15,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2985000,48067500,خیر
941,زن,25,بهمن,24,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3157500,79732500,خیر
942,زن,50,مهر,13,4G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,4522500,57330000,خیر
943,مرد,48,دی,24,5G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,11977500,300150000,خیر
944,زن,39,شهریور,72,4G,بله,بله,بله,بله,بله,بله,دائمی,خیر,9825000,737955000,خیر
945,زن,62,مرداد,54,5G,بله,بله,خیر,خیر,بله,بله,اعتباری,بله,15615000,846870000,خیر
946,زن,27,آبان,3,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,11160000,32370000,بله
947,مرد,22,اسفند,4,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,3075000,11640000,خیر
948,زن,32,اسفند,32,5G,خیر,خیر,بله,خیر,بله,خیر,اعتباری,بله,13702500,434482500,خیر
949,مرد,39,مرداد,35,5G,خیر,خیر,بله,خیر,بله,بله,اعتباری,بله,14857500,509370000,بله
950,مرد,43,آبان,35,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3075000,113902500,خیر
951,مرد,37,دی,2,3G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,6742500,12772500,بله
952,زن,44,خرداد,8,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,11340000,80332500,خیر
953,مرد,25,اردیبهشت,22,4G,بله,خیر,خیر,بله,خیر,خیر,اعتباری,خیر,8265000,187972500,خیر
954,زن,57,مرداد,15,3G,بله,خیر,بله,بله,خیر,خیر,اعتباری,خیر,8842500,143272500,خیر
955,مرد,39,بهمن,22,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,14265000,324390000,خیر
956,مرد,53,بهمن,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,6705000,6705000,بله
957,زن,44,فروردین,71,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3817500,272002500,خیر
958,مرد,45,خرداد,4,4G,بله,خیر,بله,خیر,خیر,خیر,اعتباری,خیر,8512500,36772500,خیر
959,مرد,47,مرداد,25,3G,بله,بله,بله,بله,خیر,بله,اعتباری,خیر,12262500,304320000,خیر
960,زن,45,فروردین,32,5G,خیر,بله,خیر,خیر,بله,خیر,اعتباری,بله,12915000,408562500,خیر
961,مرد,48,مرداد,7,4G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,4470000,33067500,خیر
962,مرد,56,خرداد,17,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3075000,54870000,خیر
963,مرد,42,مهر,8,4G,بله,خیر,خیر,خیر,بله,خیر,اعتباری,خیر,9135000,82792500,خیر
964,زن,49,دی,56,4G,بله,خیر,بله,بله,خیر,بله,دائمی,خیر,10987500,608130000,خیر
965,مرد,39,آبان,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,6855000,6855000,بله
966,مرد,57,تیر,8,5G,بله,خیر,خیر,بله,بله,بله,اعتباری,خیر,15045000,124852500,بله
967,مرد,32,شهریور,7,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2887500,16845000,بله
968,مرد,62,مرداد,3,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3127500,9097500,خیر
969,زن,40,مرداد,71,3G,بله,بله,بله,بله,بله,خیر,دائمی,خیر,11602500,832515000,خیر
970,زن,23,تیر,2,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,14400000,26220000,بله
971,زن,42,اردیبهشت,1,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,خیر,13582500,13582500,بله
972,مرد,32,بهمن,49,5G,بله,بله,خیر,خیر,بله,خیر,اعتباری,بله,14077500,709965000,خیر
973,مرد,50,اردیبهشت,58,4G,خیر,بله,بله,بله,بله,خیر,دائمی,خیر,10515000,607342500,خیر
974,مرد,32,تیر,44,4G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,4552500,203955000,بله
975,زن,35,تیر,59,3G,خیر,بله,خیر,بله,بله,بله,دائمی,بله,11392500,681352500,خیر
976,مرد,18,بهمن,71,5G,بله,خیر,بله,بله,بله,بله,دائمی,بله,16207500,1129822500,بله
977,مرد,35,آذر,1,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10485000,10485000,بله
978,زن,18,خرداد,11,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,11287500,133297500,خیر
979,مرد,21,خرداد,62,5G,خیر,بله,بله,خیر,بله,بله,دائمی,بله,15562500,957502500,بله
980,زن,49,تیر,35,4G,بله,خیر,خیر,بله,خیر,خیر,دائمی,بله,8242500,287400000,خیر
981,زن,49,بهمن,20,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,بله,2925000,61950000,خیر
982,مرد,45,فروردین,40,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2940000,121342500,خیر
983,زن,28,مرداد,39,4G,بله,خیر,خیر,خیر,خیر,خیر,دائمی,بله,7177500,282960000,خیر
984,مرد,39,شهریور,1,5G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,12990000,12990000,بله
985,زن,40,مرداد,72,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3562500,251887500,خیر
986,زن,26,دی,33,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,12090000,398475000,بله
987,زن,58,مرداد,12,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,6570000,81142500,خیر
988,مرد,51,اسفند,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2962500,2962500,خیر
989,مرد,37,اردیبهشت,27,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2872500,80602500,خیر
